CONUS_10KM,LONG,LAT
74742,-100.46583536200001,39.9566191336
74743,-100.347858596,39.9607561784
74744,-100.229868418,39.964782547
74745,-100.111865189,39.9686982199
74746,-99.9938492712,39.9725031793
74747,-99.8758210264,39.9761974058
74748,-99.7577808171,39.9797808827
74749,-99.6397290052,39.9832535927
74750,-99.5216659543,39.9866155186
74751,-99.403592027,39.9898666447
74752,-99.2855075857,39.9930069558
74753,-99.1674129945,39.9960364363
74754,-99.049308616,39.9989550723
74755,-98.9311948146,40.0017628489
74756,-98.8130719541,40.0044597536
74757,-98.6949403981,40.0070457727
74758,-98.5768005108,40.0095208943
74759,-98.4586526568,40.0118851063
74760,-98.3404972002,40.014138397399996
74761,-98.2223345057,40.0162807571
74762,-98.1041649383,40.0183121747
74763,-97.9859888628,40.0202326405
74764,-97.8678066434,40.0220421457
74765,-97.7496186465,40.0237406809
74766,-97.6314252362,40.0253282387
74767,-97.5132267775,40.026804811
74768,-97.3950236367,40.0281703905
74769,-97.2768161795,40.0294249718
74770,-97.1586047711,40.0305685473
74771,-97.0403897774,40.0316011125
74772,-96.9221715636,40.032522662
74773,-96.8039504952,40.0333331917
74774,-96.6857269387,40.0340326975
74775,-96.5675012594,40.0346211761
74776,-96.4492738234,40.0350986248
74777,-96.3310449972,40.0354650411
74778,-96.2128151458,40.0357204232
74779,-96.0945846362,40.0358647703
74780,-95.9763538334,40.035898081
74781,-95.8581231038,40.0358203555
74782,-95.7398928138,40.0356315947
74783,-95.6216633282,40.0353317985
74784,-95.5034350143,40.0349209691
74785,-95.3852082373,40.0343991082
74786,-95.266983363,40.0337662182
75192,-102.005600521,39.9818438188
75193,-101.887685338,39.9874248135
75194,-101.769752001,39.9928952896
75195,-101.651800869,39.9982552217
75196,-101.5338323,40.003504583
75197,-101.415846656,40.0086433487
75198,-101.297844295,40.0136714947
75199,-101.179825578,40.0185889967
75200,-101.061790867,40.0233958312
75201,-100.943740521,40.0280919753
75202,-100.825674903,40.0326774065
75203,-100.707594373,40.0371521027
75204,-100.589499294,40.0415160426
75205,-100.471390028,40.0457692057
75206,-100.353266937,40.0499115711
75207,-100.235130384,40.0539431187
75208,-100.116980731,40.0578638294
75209,-99.9988183423,40.061673685
75210,-99.8806435804,40.0653726665
75211,-99.7624568096,40.0689607564
75212,-99.644258393,40.0724379372
75213,-99.5260486947,40.0758041929
75214,-99.4078280794,40.0790595065
75215,-99.2895969112,40.0822038624
75216,-99.1713555553,40.0852372462
75217,-99.0531043758,40.0881596427
75218,-98.9348437378,40.0909710381
75219,-98.8165740066,40.0936714188
75220,-98.6982955473,40.0962607716
75221,-98.5800087259,40.0987390842
75222,-98.4617139079,40.1011063449
75223,-98.3434114591,40.1033625417
75224,-98.2251017455,40.1055076644
75225,-98.1067851328,40.1075417024
75226,-97.9884619877,40.1094646457
75227,-97.8701326763,40.111276485
75228,-97.7517975648,40.112977212
75229,-97.6334570206,40.114566818
75230,-97.5151114093,40.1160452958
75231,-97.3967610976,40.1174126375
75232,-97.2784064538,40.1186688376
75233,-97.160047844,40.1198138894
75234,-97.0416856348,40.1208477873
75235,-96.9233201937,40.1217705266
75236,-96.8049518881,40.1225821023
75237,-96.6865810844,40.1232825112
75238,-96.5682081505,40.1238717498
75239,-96.4498334534,40.1243498147
75240,-96.3314573601,40.1247167039
75241,-96.2130802385,40.1249724157
75242,-96.0947024552,40.1251169491
75243,-95.9763243784,40.125150303
75244,-95.8579463753,40.1250724773
75245,-95.7395688127,40.1248834726
75246,-95.6211920583,40.1245832895
75247,-95.5028164794,40.1241719297
75248,-95.3844424433,40.1236493949
75655,-102.013070764,40.0709152557
75656,-101.895009669,40.0765034285
75657,-101.776930353,40.0819809426
75658,-101.658833174,40.0873477717
75659,-101.540718495,40.0926038896
75660,-101.422586676,40.0977492716
75661,-101.304438078,40.1027838933
75662,-101.186273064,40.1077077299
75663,-101.068091994,40.1125207579
75664,-100.949895233,40.1172229544
75665,-100.831683141,40.1218142966
75666,-100.713456083,40.1262947625
75667,-100.595214421,40.1306643304
75668,-100.476958519,40.1349229799
75669,-100.358688741,40.1390706896
75670,-100.240405449,40.1431074402
75671,-100.12210901,40.1470332116
75672,-100.003799787,40.1508479856
75673,-99.8854781441,40.1545517433
75674,-99.7671444475,40.1581444673
75675,-99.648799062,40.1616261396
75676,-99.5304423525,40.1649967443
75677,-99.412074685,40.1682562644
75678,-99.2936964256,40.1714046839
75679,-99.1753079397,40.1744419886
75680,-99.0569095938,40.1773681628
75681,-98.9385017541,40.1801831933
75682,-98.8200847869,40.182887066
75683,-98.7016590593,40.1854797676
75684,-98.5832249382,40.1879612858
75685,-98.4647827903,40.1903316089
75686,-98.3463329833,40.1925907247
75687,-98.227875884,40.1947386231
75688,-98.1094118602,40.1967752932
75689,-97.9909412795,40.198700725
75690,-97.8724645091,40.2005149095
75691,-97.7539819173,40.2022178376
75692,-97.635493872,40.2038095017
75693,-97.5170007405,40.2052898934
75694,-97.3985028916,40.2066590056
75695,-97.2800006941,40.2079168321
75696,-97.1614945156,40.2090633666
75697,-97.0429847245,40.2100986034
75698,-96.9244716894,40.2110225377
75699,-96.8059557789,40.2118351644
75700,-96.6874373611,40.2125364806
75701,-96.5689168049,40.2131264822
75702,-96.4503944785,40.2136051661
75703,-96.3318707514,40.213972531
75704,-96.213345992,40.2142285739
75705,-96.0948205686,40.2143732943
75706,-95.97629485,40.2144066914
75707,-95.8577692055,40.214328765
75708,-95.7392440036,40.2141395154
75709,-95.6207196126,40.2138389435
75710,-95.5021964016,40.2134270508
76118,-102.020559589,40.1599902554
76119,-101.902352222,40.1655856386
76120,-101.784126566,40.1710702224
76121,-101.665882981,40.17644398
76122,-101.547621829,40.1817068854
76123,-101.429343474,40.1868589138
76124,-101.311048278,40.1919000403
76125,-101.192736603,40.1968302402
76126,-101.074408814,40.2016494899
76127,-100.956065274,40.2063577663
76128,-100.837706347,40.2109550463
76129,-100.719332397,40.215441308
76130,-100.600943788,40.2198165298
76131,-100.482540886,40.2240806904
76132,-100.364124056,40.2282337688
76133,-100.245693663,40.2322757458
76134,-100.127250072,40.2362066012
76135,-100.00879365,40.2400263157
76136,-99.8903247618,40.2437348719
76137,-99.7718437747,40.2473322507
76138,-99.6533510544,40.2508184351
76139,-99.5348469684,40.2541934084
76140,-99.416331883,40.2574571541
76141,-99.2978061657,40.260609656
76142,-99.1792701842,40.2636508989
76143,-99.0607243054,40.2665808686
76144,-98.9421688971,40.2693995506
76145,-98.8236043274,40.2721069311
76146,-98.7050309645,40.2747029969
76147,-98.5864491768,40.2771877351
76148,-98.4678593324,40.2795611343
76149,-98.3492617993,40.2818231825
76150,-98.2306569472,40.2839738693
76151,-98.1120451447,40.2860131835
76152,-97.9934267602,40.2879411152
76153,-97.8748021636,40.2897576553
76154,-97.7561717231,40.291462795
76155,-97.6375358089,40.2930565264
76156,-97.5188947894,40.2945388409
76157,-97.4002490344,40.2959097317
76158,-97.2815989153,40.297169192
76159,-97.1629447999,40.2983172159
76160,-97.0442870584,40.2993537978
76161,-96.9256260605,40.3002789323
76162,-96.8069621763,40.301092615
76163,-96.6882957759,40.3017948423
76164,-96.5696272287,40.3023856105
76165,-96.4509569054,40.3028649164
76166,-96.3322851753,40.3032327587
76167,-96.2136124091,40.3034891347
76168,-96.0949389766,40.3036340429
76169,-95.9762652483,40.3036674834
76170,-95.8575915938,40.3035894556
76171,-95.7389183834,40.3033999601
76172,-95.6202459871,40.3030989976
76173,-95.5015747753,40.3026865697
76581,-102.028067066,40.2490690511
76582,-101.909713066,40.2546716776
76583,-101.791340708,40.2601633628
76584,-101.672950354,40.2655440802
76585,-101.554542368,40.2708138044
76586,-101.436117114,40.2759725095
76587,-101.317674956,40.2810201702
76588,-101.199216258,40.2859567621
76589,-101.080741385,40.2907822616
76590,-100.962250702,40.2954966455
76591,-100.843744575,40.3000998909
76592,-100.725223369,40.3045919746
76593,-100.606687449,40.3089728757
76594,-100.488137182,40.3132425728
76595,-100.369572935,40.3174010446
76596,-100.250995074,40.3214482715
76597,-100.132403966,40.3253842342
76598,-100.013799979,40.3292089119
76599,-99.8951834794,40.3329222878
76600,-99.7765548342,40.336524343
76601,-99.657914413,40.3400150598
76602,-99.5392625829,40.3433944221
76603,-99.4205997127,40.346662412
76604,-99.3019261708,40.3498190148
76605,-99.1832423255,40.3528642147
76606,-99.0645485463,40.3557979967
76607,-98.9458452017,40.3586203467
76608,-98.8271326613,40.3613312509
76609,-98.7084112951,40.3639306961
76610,-98.5896814722,40.3664186693
76611,-98.4709435621,40.3687951588
76612,-98.3521979351,40.3710601525
76613,-98.2334449614,40.3732136406
76614,-98.1146850108,40.3752556108
76615,-97.9959184538,40.377186054
76616,-97.8771456608,40.3790049607
76617,-97.7583670029,40.3807123221
76618,-97.6395828505,40.3823081299
76619,-97.5207935734,40.383792376
76620,-97.4019995432,40.3851650533
76621,-97.2832011321,40.386426155
76622,-97.1643987102,40.3875756751
76623,-97.0455926483,40.388613608
76624,-96.9267833181,40.3895399482
76625,-96.8079710909,40.3903546917
76626,-96.6891563372,40.3910578344
76627,-96.5703394293,40.391649373
76628,-96.4515207384,40.3921293038
76629,-96.3327006358,40.3924976254
76630,-96.2138794925,40.3927543354
76631,-96.0950576809,40.3928994328
76632,-95.9762355721,40.3929329169
76633,-95.8574135375,40.3928547875
76634,-95.7385919488,40.3926650449
76635,-95.6197711775,40.3923636901
77044,-102.035593264,40.3381518769
77045,-101.917092268,40.3437617794
77046,-101.798572845,40.3492605986
77047,-101.680035359,40.3546483081
77048,-101.561480175,40.3599248815
77049,-101.442907658,40.3650902934
77050,-101.324318174,40.3701445181
77051,-101.205712088,40.3750875315
77052,-101.087089766,40.3799193096
77053,-100.968451576,40.3846398284
77054,-100.849797882,40.3892490658
77055,-100.731129054,40.3937469986
77056,-100.612445457,40.3981336048
77057,-100.493747459,40.4024088635
77058,-100.375035429,40.4065727535
77059,-100.256309733,40.4106252543
77060,-100.137570741,40.4145663467
77061,-100.01881882,40.418396011
77062,-99.9000543407,40.4221142283
77063,-99.7812776711,40.4257209813
77064,-99.6624891807,40.4292162514
77065,-99.5436892384,40.4326000219
77066,-99.4248782145,40.4358722763
77067,-99.3060564787,40.4390329985
77068,-99.187224401,40.4420821731
77069,-99.0683823521,40.445019785
77070,-98.9495307024,40.4478458199
77071,-98.830669822,40.4505602639
77072,-98.7118000824,40.4531631039
77073,-98.5929218542,40.4556543267
77074,-98.4740355089,40.4580339208
77075,-98.3551414177,40.460301874
77076,-98.2362399518,40.4624581752
77077,-98.1173314832,40.4645028139
77078,-97.9984163832,40.46643578
77079,-97.879495024,40.468257064
77080,-97.7605677773,40.4699666571
77081,-97.6416350158,40.4715645508
77082,-97.5226971105,40.4730507373
77083,-97.4037544342,40.4744252093
77084,-97.2848073601,40.47568796
77085,-97.1658562603,40.4768389832
77086,-97.0469015068,40.4778782734
77087,-96.927943473,40.4788058251
77088,-96.8089825308,40.479621634
77089,-96.6900190536,40.4803256963
77090,-96.5710534131,40.4809180085
77091,-96.4520859829,40.4813985672
77092,-96.3331171361,40.4817673702
77093,-96.2141472448,40.4820244162
77094,-96.0951766825,40.4821697033
77095,-95.9762058217,40.4822032312
77096,-95.8572350356,40.4821249995
77097,-95.738264697,40.4819350089
77098,-95.6192951787,40.4816332598
77507,-102.043138254,40.4272389682
77508,-101.924489897,40.4328561798
77509,-101.805823045,40.4383621656
77510,-101.687138062,40.4437568987
77511,-101.568435314,40.4490403528
77512,-101.449715169,40.4542125019
77513,-101.330977993,40.4592733208
77514,-101.212224153,40.4642227847
77515,-101.093454016,40.46906087
77516,-100.974667951,40.4737875523
77517,-100.855866326,40.4784028087
77518,-100.737049507,40.482906617
77519,-100.618217866,40.4872989542
77520,-100.499371769,40.4915798
77521,-100.380511586,40.4957491327
77522,-100.261637688,40.4998069317
77523,-100.142750443,40.5037531775
77524,-100.023850221,40.5075878503
77525,-99.9049373925,40.511310932
77526,-99.7860123285,40.5149224038
77527,-99.6670753994,40.5184222479
77528,-99.5481269754,40.5218104472
77529,-99.4291674281,40.5250869852
77530,-99.3101971284,40.5282518457
77531,-99.1912164484,40.5313050133
77532,-99.0722257595,40.5342464724
77533,-98.9532254334,40.5370762092
77534,-98.8342158423,40.5397942091
77535,-98.7151973582,40.5424004596
77536,-98.5961703536,40.5448949468
77537,-98.4771352015,40.5472776595
77538,-98.3580922742,40.5495485854
77539,-98.2390419449,40.5517077129
77540,-98.1199845866,40.5537550323
77541,-98.0009205719,40.5556905325
77542,-97.8818502738,40.557514205
77543,-97.7627740667,40.5592260397
77544,-97.6436923238,40.5608260294
77545,-97.524605418,40.5623141652
77546,-97.4055137231,40.5636904398
77547,-97.286417614,40.5649548468
77548,-97.1673174637,40.5661073803
77549,-97.0482136464,40.567148034
77550,-96.9291065357,40.5680768026
77551,-96.8099965062,40.5688936819
77552,-96.6908839315,40.5695986678
77553,-96.5717691865,40.5701917573
77554,-96.4526526446,40.5706729464
77555,-96.3335346801,40.5710422337
77556,-96.2144156681,40.5712996168
77557,-96.0952959822,40.5714450945
77558,-95.9761759967,40.5714786664
77559,-95.8570560863,40.5714003322
77560,-95.7379366246,40.5712100921
77561,-95.6188179871,40.5709079472
77970,-102.050702105,40.5163305614
77971,-101.931906023,40.5219551157
77972,-101.813091375,40.5274683006
77973,-101.694258529,40.5328700894
77974,-101.575407852,40.5381604553
77975,-101.456539712,40.5433393726
77976,-101.337654476,40.5484068157
77977,-101.218752515,40.5533627596
77978,-101.099834196,40.5582071805
