CONUS_10KM,SITE
74766.0,RBP_1
74774.0,SMH_1
75212.0,RPAB_1
75220.0,RPAB_2
75222.0,RPAB_3
75230.0,RBP_R1
75234.0,RBP_R2
75688.0,RBP_2
75693.0,RBP_3
75695.0,RBP_4
75704.0,LAGDH_1
76124.0,MRP_1
76601.0,RPAB_4
76624.0,RBP_5
76630.0,LAGDH_2
76634.0,NLH_1
77062.0,RPAB_5
77512.0,MRP_2
77549.0,RBP_9
77975.0,RSP_R2
77996.0,PRV_1
78014.0,LAGDH_3
78471.0,RBP_10
78910.0,RPAB_7
78936.0,RBP_11
79367.0,SH_R2
79402.0,LAGDH_4
79825.0,RSP_R4
79854.0,PRV_2
80298.0,PRV_3
80300.0,SH_R3
80314.0,CNLP_1
80335.0,NLH_2
80747.0,FTRP_R6
80755.0,FTRP_1
80758.0,SH_R5
80768.0,CNLP_2
81217.0,PRVAT_1
81235.0,CNLP_3
81248.0,PRV_4
81259.0,LPAP_1
81677.0,PRVAT_2
81678.0,SH_R6
82124.0,FTRP_R9
82151.0,SH_1
82155.0,CNLP_4
82620.0,CNLP_5
82624.0,CNLP_6
83083.0,CNLP_7
83110.0,NNLH_1
83511.0,FTRP_5
83541.0,SH_4
83549.0,CNLP_8
83983.0,PBAH_1
84010.0,SH_5
84022.0,SH_6
84441.0,PBAH_2
84482.0,SH_8
84493.0,TSP_1
84929.0,SH_9
84935.0,SH_10
85401.0,SH_11
85426.0,NLH_3
85840.0,ALA_R3
86312.0,SH_13
86336.0,HT_R1
86343.0,NNLH_5
86778.0,LA_R6
86792.0,LA_4
86797.0,WMAMP_1
86814.0,MAP_R2
87224.0,FTRP_6
87230.0,ALA_2
87251.0,SH_15
87719.0,WMAMP_2
87728.0,TSP_2
87735.0,NNLH_6
88150.0,FTRP_R17
88153.0,FTRP_7
88165.0,LA_7
88178.0,WMAMP_3
88191.0,NNLH_7
88613.0,SAST_R3
88616.0,FTRP_8
88631.0,LA_R13
88645.0,HT_2
88651.0,SH_16
89075.0,SAST_R4
89104.0,NRB_1
89109.0,SH_18
89119.0,NNLH_8
89536.0,SPSP_R1
89539.0,PRE_1
89548.0,SH_19
89566.0,KPT_1
89576.0,SRB_1
89994.0,SAST_R6
90006.0,PRE_2
90037.0,PP_1
90457.0,WRB_R1
90475.0,LA_R14
