FID_NAbat_,CONUS_10KM
110.0,75662.0
1389.0,85375.0
391.0,77981.0
1583.0,86765.0
434.0,78433.0
982.0,82593.0
327.0,77509.0
917.0,82134.0
1518.0,86301.0
1455.0,85839.0
992.0,82603.0
1385.0,85371.0
1466.0,85850.0
387.0,77977.0
1322.0,84912.0
1452.0,85836.0
1463.0,85847.0
1056.0,83062.0
1519.0,86302.0
839.0,81661.0
1325.0,84915.0
1393.0,85379.0
651.0,80289.0
722.0,80756.0
1204.0,84002.0
1067.0,83073.0
1320.0,84910.0
597.0,79826.0
165.0,76124.0
1599.0,86781.0
712.0,80746.0
1129.0,83531.0
1250.0,84444.0
725.0,80759.0
276.0,77050.0
1060.0,83066.0
1453.0,85837.0
1319.0,84909.0
596.0,79825.0
1197.0,83995.0
1597.0,86779.0
541.0,79360.0
852.0,81674.0
107.0,75659.0
1065.0,83071.0
842.0,81664.0
718.0,80752.0
1570.0,86752.0
1387.0,85373.0
105.0,75657.0
1528.0,86311.0
792.0,81220.0
1323.0,84913.0
1598.0,86780.0
598.0,79827.0
717.0,80751.0
328.0,77510.0
1589.0,86771.0
605.0,79834.0
1390.0,85376.0
795.0,81223.0
843.0,81665.0
1248.0,84442.0
1255.0,84449.0
1051.0,83057.0
440.0,78439.0
848.0,81670.0
281.0,77055.0
381.0,77971.0
435.0,78434.0
1398.0,85384.0
1459.0,85843.0
1584.0,86766.0
1647.0,87228.0
1642.0,87223.0
654.0,80292.0
1520.0,86303.0
279.0,77053.0
1113.0,83515.0
987.0,82598.0
1644.0,87225.0
109.0,75661.0
1526.0,86309.0
447.0,78446.0
443.0,78442.0
989.0,82600.0
709.0,80743.0
1587.0,86769.0
1386.0,85372.0
336.0,77518.0
283.0,77057.0
653.0,80291.0
786.0,81214.0
1258.0,84452.0
1646.0,87227.0
329.0,77511.0
769.0,81197.0
1444.0,85828.0
1265.0,84459.0
1388.0,85374.0
1405.0,85391.0
1261.0,84455.0
1460.0,85844.0
1381.0,85367.0
780.0,81208.0
1535.0,86318.0
851.0,81673.0
1264.0,84458.0
716.0,80750.0
723.0,80757.0
1517.0,86300.0
1397.0,85383.0
160.0,76119.0
1254.0,84448.0
1256.0,84450.0
1575.0,86757.0
721.0,80755.0
788.0,81216.0
1247.0,84441.0
1534.0,86317.0
922.0,82139.0
1445.0,85829.0
1470.0,85854.0
1442.0,85826.0
1443.0,85827.0
1045.0,83051.0
1193.0,83991.0
1001.0,82612.0
912.0,82129.0
1326.0,84916.0
1588.0,86770.0
658.0,80296.0
436.0,78435.0
1184.0,83982.0
1515.0,86298.0
1055.0,83061.0
918.0,82135.0
224.0,76590.0
849.0,81671.0
1454.0,85838.0
1118.0,83520.0
1582.0,86764.0
168.0,76127.0
1406.0,85392.0
1514.0,86297.0
988.0,82599.0
280.0,77054.0
1249.0,84443.0
1573.0,86755.0
274.0,77048.0
791.0,81219.0
984.0,82595.0
844.0,81666.0
773.0,81201.0
707.0,80741.0
1578.0,86760.0
1315.0,84905.0
1593.0,86775.0
793.0,81221.0
593.0,79822.0
273.0,77047.0
650.0,80288.0
500.0,78909.0
1125.0,83527.0
1451.0,85835.0
1133.0,83535.0
275.0,77049.0
774.0,81202.0
1516.0,86299.0
1530.0,86313.0
171.0,76130.0
1446.0,85830.0
116.0,75668.0
489.0,78898.0
599.0,79828.0
1524.0,86307.0
1580.0,86762.0
655.0,80293.0
1395.0,85381.0
1313.0,84903.0
162.0,76121.0
382.0,77972.0
923.0,82140.0
1190.0,83988.0
1131.0,83533.0
492.0,78901.0
546.0,79365.0
1178.0,83976.0
782.0,81210.0
1458.0,85842.0
1595.0,86777.0
1377.0,85363.0
389.0,77979.0
727.0,80761.0
1525.0,86308.0
380.0,77970.0
1195.0,83993.0
1119.0,83521.0
790.0,81218.0
1521.0,86304.0
325.0,77507.0
1053.0,83059.0
1253.0,84447.0
1471.0,85855.0
726.0,80760.0
544.0,79363.0
720.0,80754.0
1513.0,86296.0
384.0,77974.0
600.0,79829.0
540.0,79359.0
1002.0,82613.0
1114.0,83516.0
1392.0,85378.0
789.0,81217.0
1339.0,84929.0
330.0,77512.0
700.0,80734.0
441.0,78440.0
652.0,80290.0
1585.0,86767.0
169.0,76128.0
907.0,82124.0
227.0,76593.0
1183.0,83981.0
1337.0,84927.0
1334.0,84924.0
167.0,76126.0
985.0,82596.0
710.0,80744.0
385.0,77975.0
1064.0,83070.0
1309.0,84899.0
1512.0,86295.0
1384.0,85370.0
163.0,76122.0
495.0,78904.0
919.0,82136.0
1321.0,84911.0
1522.0,86305.0
863.0,81685.0
337.0,77519.0
392.0,77982.0
981.0,82592.0
1049.0,83055.0
1130.0,83532.0
1450.0,85834.0
916.0,82133.0
595.0,79824.0
494.0,78903.0
334.0,77516.0
498.0,78907.0
103.0,75655.0
724.0,80758.0
1317.0,84907.0
1244.0,84438.0
606.0,79835.0
1122.0,83524.0
1063.0,83069.0
785.0,81213.0
1329.0,84919.0
604.0,79833.0
1403.0,85389.0
855.0,81677.0
446.0,78445.0
1336.0,84926.0
1324.0,84914.0
543.0,79362.0
702.0,80736.0
784.0,81212.0
783.0,81211.0
222.0,76588.0
719.0,80753.0
1531.0,86314.0
1506.0,86289.0
1462.0,85846.0
1396.0,85382.0
1449.0,85833.0
547.0,79366.0
217.0,76583.0
1187.0,83985.0
1590.0,86772.0
1645.0,87226.0
1529.0,86312.0
488.0,78897.0
172.0,76131.0
1638.0,87219.0
225.0,76591.0
775.0,81203.0
715.0,80749.0
915.0,82132.0
714.0,80748.0
648.0,80286.0
794.0,81222.0
1461.0,85845.0
974.0,82585.0
845.0,81667.0
491.0,78900.0
1596.0,86778.0
771.0,81199.0
713.0,80747.0
1202.0,84e3
1380.0,85366.0
864.0,81686.0
1456.0,85840.0
787.0,81215.0
111.0,75663.0
1185.0,83983.0
1186.0,83984.0
170.0,76129.0
649.0,80287.0
1062.0,83068.0
1469.0,85853.0
838.0,81660.0
1394.0,85380.0
594.0,79823.0
282.0,77056.0
1263.0,84457.0
1188.0,83986.0
1110.0,83512.0
1259.0,84453.0
921.0,82138.0
711.0,80745.0
1189.0,83987.0
1180.0,83978.0
278.0,77052.0
905.0,82122.0
1135.0,83537.0
545.0,79364.0
1592.0,86774.0
114.0,75666.0
1123.0,83525.0
660.0,80298.0
383.0,77973.0
858.0,81680.0
1112.0,83514.0
856.0,81678.0
796.0,81224.0
924.0,82141.0
1523.0,86306.0
913.0,82130.0
1044.0,83050.0
59.0,75205.0
861.0,81683.0
1057.0,83063.0
326.0,77508.0
1246.0,84440.0
854.0,81676.0
932.0,82149.0
115.0,75667.0
1579.0,86761.0
1591.0,86773.0
1448.0,85832.0
1127.0,83529.0
542.0,79361.0
1533.0,86316.0
1134.0,83536.0
219.0,76585.0
332.0,77514.0
161.0,76120.0
603.0,79832.0
656.0,80294.0
439.0,78438.0
1586.0,86768.0
1328.0,84918.0
1069.0,83075.0
1054.0,83060.0
228.0,76594.0
166.0,76125.0
1196.0,83994.0
58.0,75204.0
601.0,79830.0
659.0,80297.0
933.0,82150.0
920.0,82137.0
1391.0,85377.0
914.0,82131.0
106.0,75658.0
983.0,82594.0
277.0,77051.0
1532.0,86315.0
1042.0,83048.0
1643.0,87224.0
272.0,77046.0
1061.0,83067.0
1314.0,84904.0
778.0,81206.0
703.0,80737.0
910.0,82127.0
1508.0,86291.0
1041.0,83047.0
493.0,78902.0
442.0,78441.0
1243.0,84437.0
1457.0,85841.0
1050.0,83056.0
904.0,82121.0
333.0,77515.0
768.0,81196.0
499.0,78908.0
335.0,77517.0
1194.0,83992.0
548.0,79367.0
1379.0,85365.0
388.0,77978.0
553.0,79372.0
853.0,81675.0
1316.0,84906.0
1268.0,84462.0
840.0,81662.0
1262.0,84456.0
1257.0,84451.0
973.0,82584.0
1132.0,83534.0
1310.0,84900.0
1120.0,83522.0
216.0,76582.0
