grid,site,night
ALA_2,ALA_2_NE_1004C,2015-06-24
ALA_2,ALA_2_NE_1004C,2015-06-25
ALA_2,ALA_2_NE_1004C,2015-06-26
ALA_2,ALA_2_NE_1004C,2015-06-27
ALA_2,ALA_2_NE_1004C,2015-06-28
ALA_2,ALA_2_NE_1004C,2015-06-29
ALA_2,ALA_2_NW_BAT_207,2015-06-24
ALA_2,ALA_2_NW_BAT_207,2015-06-25
ALA_2,ALA_2_NW_BAT_207,2015-06-26
ALA_2,ALA_2_NW_BAT_207,2015-06-27
ALA_2,ALA_2_NW_BAT_207,2015-06-28
ALA_2,ALA_2_NW_BAT_207,2015-06-29
ALA_2,ALA_2_SE_BAT_026,2015-06-24
ALA_2,ALA_2_SE_BAT_026,2015-06-25
ALA_2,ALA_2_SE_BAT_026,2015-06-26
ALA_2,ALA_2_SE_BAT_026,2015-06-27
ALA_2,ALA_2_SE_BAT_026,2015-06-28
ALA_R3,ALA_R3_NE_BAT_040,2015-06-16
ALA_R3,ALA_R3_NE_BAT_040,2015-06-17
ALA_R3,ALA_R3_NE_BAT_040,2015-06-18
ALA_R3,ALA_R3_NE_BAT_040,2015-06-19
ALA_R3,ALA_R3_NE_BAT_040,2015-06-20
ALA_R3,ALA_R3_NE_BAT_040,2015-06-21
ALA_R3,ALA_R3_NW_G2,2015-06-16
ALA_R3,ALA_R3_NW_G2,2015-06-17
ALA_R3,ALA_R3_NW_G2,2015-06-18
ALA_R3,ALA_R3_NW_G2,2015-06-19
ALA_R3,ALA_R3_NW_G2,2015-06-20
ALA_R3,ALA_R3_NW_G2,2015-06-21
ALA_R3,ALA_R3_SW_J4,2015-06-16
ALA_R3,ALA_R3_SW_J4,2015-06-17
ALA_R3,ALA_R3_SW_J4,2015-06-18
ALA_R3,ALA_R3_SW_J4,2015-06-19
ALA_R3,ALA_R3_SW_J4,2015-06-20
ALA_R3,ALA_R3_SW_J4,2015-06-21
CNLP_1,CNLP_1_NE_BAT_006,2015-05-28
CNLP_1,CNLP_1_NE_BAT_006,2015-05-29
CNLP_1,CNLP_1_NE_BAT_006,2015-05-30
CNLP_1,CNLP_1_NE_BAT_006,2015-05-31
CNLP_1,CNLP_1_NE_BAT_006,2015-06-01
CNLP_1,CNLP_1_NE_BAT_006,2015-06-02
CNLP_1,CNLP_1_NE_BAT_006,2015-06-03
CNLP_1,CNLP_1_NW_BAT_005,2015-05-28
CNLP_1,CNLP_1_NW_BAT_005,2015-05-29
CNLP_1,CNLP_1_NW_BAT_005,2015-05-30
CNLP_1,CNLP_1_NW_BAT_005,2015-05-31
CNLP_1,CNLP_1_NW_BAT_005,2015-06-01
CNLP_1,CNLP_1_NW_BAT_005,2015-06-02
CNLP_1,CNLP_1_NW_BAT_005,2015-06-03
CNLP_1,CNLP_1_SE_BAT_004,2015-05-28
CNLP_1,CNLP_1_SE_BAT_004,2015-05-29
CNLP_1,CNLP_1_SE_BAT_004,2015-05-30
CNLP_1,CNLP_1_SE_BAT_004,2015-05-31
CNLP_1,CNLP_1_SE_BAT_004,2015-06-01
CNLP_1,CNLP_1_SW_BAT_002,2015-05-28
CNLP_1,CNLP_1_SW_BAT_002,2015-05-29
CNLP_1,CNLP_1_SW_BAT_002,2015-05-30
CNLP_1,CNLP_1_SW_BAT_002,2015-05-31
CNLP_1,CNLP_1_SW_BAT_002,2015-06-01
CNLP_1,CNLP_1_SW_BAT_002,2015-06-02
CNLP_1,CNLP_1_SW_BAT_002,2015-06-03
CNLP_2,CNLP_2_NE_BAT_008,2015-07-03
CNLP_2,CNLP_2_NE_BAT_008,2015-07-04
CNLP_2,CNLP_2_NE_BAT_008,2015-07-05
CNLP_2,CNLP_2_NE_BAT_008,2015-07-06
CNLP_2,CNLP_2_NE_BAT_008,2015-07-07
CNLP_2,CNLP_2_NE_BAT_008,2015-07-08
CNLP_2,CNLP_2_NW_L4,2015-07-03
CNLP_2,CNLP_2_NW_L4,2015-07-04
CNLP_2,CNLP_2_NW_L4,2015-07-05
CNLP_2,CNLP_2_NW_L4,2015-07-06
CNLP_2,CNLP_2_NW_L4,2015-07-07
CNLP_2,CNLP_2_NW_L4,2015-07-08
CNLP_2,CNLP_2_SE_BAT_004,2015-07-03
CNLP_2,CNLP_2_SE_BAT_004,2015-07-04
CNLP_2,CNLP_2_SE_BAT_004,2015-07-05
CNLP_2,CNLP_2_SE_BAT_004,2015-07-06
CNLP_2,CNLP_2_SE_BAT_004,2015-07-07
CNLP_2,CNLP_2_SE_BAT_004,2015-07-08
CNLP_2,CNLP_2_SW_A3,2015-07-03
CNLP_2,CNLP_2_SW_A3,2015-07-04
CNLP_2,CNLP_2_SW_A3,2015-07-05
CNLP_2,CNLP_2_SW_A3,2015-07-06
CNLP_2,CNLP_2_SW_A3,2015-07-07
CNLP_2,CNLP_2_SW_A3,2015-07-08
CNLP_3,CNLP_3_NE_BAT_015,2015-05-29
CNLP_3,CNLP_3_NE_BAT_015,2015-05-30
CNLP_3,CNLP_3_NE_BAT_015,2015-05-31
CNLP_3,CNLP_3_NE_BAT_015,2015-06-01
CNLP_3,CNLP_3_NE_BAT_015,2015-06-02
CNLP_3,CNLP_3_NE_BAT_015,2015-06-03
CNLP_3,CNLP_3_NW_BAT_013,2015-05-29
CNLP_3,CNLP_3_NW_BAT_013,2015-05-30
CNLP_3,CNLP_3_NW_BAT_013,2015-05-31
CNLP_3,CNLP_3_NW_BAT_013,2015-06-01
CNLP_3,CNLP_3_NW_BAT_013,2015-06-02
CNLP_3,CNLP_3_NW_BAT_013,2015-06-03
CNLP_3,CNLP_3_SE_BAT_012,2015-05-29
CNLP_3,CNLP_3_SE_BAT_012,2015-05-30
CNLP_3,CNLP_3_SE_BAT_012,2015-05-31
CNLP_3,CNLP_3_SE_BAT_012,2015-06-01
CNLP_3,CNLP_3_SE_BAT_012,2015-06-02
CNLP_3,CNLP_3_SW_BAT_014,2015-05-29
CNLP_3,CNLP_3_SW_BAT_014,2015-05-30
CNLP_3,CNLP_3_SW_BAT_014,2015-05-31
CNLP_3,CNLP_3_SW_BAT_014,2015-06-01
CNLP_3,CNLP_3_SW_BAT_014,2015-06-02
CNLP_3,CNLP_3_SW_BAT_014,2015-06-03
CNLP_4,CNLP_4_NE_BAT_038,2015-07-09
CNLP_4,CNLP_4_NE_BAT_038,2015-07-10
CNLP_4,CNLP_4_NE_BAT_038,2015-07-11
CNLP_4,CNLP_4_NE_BAT_038,2015-07-12
CNLP_4,CNLP_4_NE_BAT_038,2015-07-13
CNLP_4,CNLP_4_NE_BAT_038,2015-07-14
CNLP_4,CNLP_4_NE_BAT_038,2015-07-15
CNLP_4,CNLP_4_NW_BAT_002,2015-07-09
CNLP_4,CNLP_4_NW_BAT_002,2015-07-10
CNLP_4,CNLP_4_NW_BAT_002,2015-07-11
CNLP_4,CNLP_4_NW_BAT_002,2015-07-12
CNLP_4,CNLP_4_NW_BAT_002,2015-07-13
CNLP_4,CNLP_4_NW_BAT_002,2015-07-14
CNLP_4,CNLP_4_NW_BAT_002,2015-07-15
CNLP_4,CNLP_4_SE_E1,2015-07-09
CNLP_4,CNLP_4_SE_E1,2015-07-10
CNLP_4,CNLP_4_SE_E1,2015-07-11
CNLP_4,CNLP_4_SE_E1,2015-07-12
CNLP_4,CNLP_4_SE_E1,2015-07-13
CNLP_4,CNLP_4_SE_E1,2015-07-14
CNLP_4,CNLP_4_SE_E1,2015-07-15
CNLP_4,CNLP_4_SW_BAT_006,2015-07-09
CNLP_4,CNLP_4_SW_BAT_006,2015-07-10
CNLP_4,CNLP_4_SW_BAT_006,2015-07-11
CNLP_4,CNLP_4_SW_BAT_006,2015-07-12
CNLP_4,CNLP_4_SW_BAT_006,2015-07-13
CNLP_4,CNLP_4_SW_BAT_006,2015-07-14
CNLP_4,CNLP_4_SW_BAT_006,2015-07-15
CNLP_5,CNLP_5_NE_987B,2015-07-03
CNLP_5,CNLP_5_NE_987B,2015-07-04
CNLP_5,CNLP_5_NE_987B,2015-07-05
CNLP_5,CNLP_5_NE_987B,2015-07-06
CNLP_5,CNLP_5_NE_987B,2015-07-07
CNLP_5,CNLP_5_NE_987B,2015-07-08
CNLP_5,CNLP_5_NE_987B,2015-07-09
CNLP_5,CNLP_5_NW_988C,2015-07-04
CNLP_5,CNLP_5_NW_988C,2015-07-05
CNLP_5,CNLP_5_NW_988C,2015-07-06
CNLP_5,CNLP_5_NW_988C,2015-07-07
CNLP_5,CNLP_5_NW_988C,2015-07-08
CNLP_5,CNLP_5_SE_BAT_028,2015-07-03
CNLP_6,CNLP_6_NW_BAT_034,2015-06-04
CNLP_6,CNLP_6_NW_BAT_034,2015-06-05
CNLP_6,CNLP_6_NW_BAT_034,2015-06-06
CNLP_6,CNLP_6_NW_BAT_034,2015-06-07
CNLP_6,CNLP_6_NW_BAT_034,2015-06-08
CNLP_6,CNLP_6_NW_BAT_034,2015-06-09
CNLP_6,CNLP_6_SE_BAT_023,2015-06-02
CNLP_6,CNLP_6_SE_BAT_023,2015-06-03
CNLP_6,CNLP_6_SE_BAT_023,2015-06-04
CNLP_6,CNLP_6_SE_BAT_023,2015-06-05
CNLP_6,CNLP_6_SE_BAT_023,2015-06-06
CNLP_6,CNLP_6_SE_BAT_023,2015-06-07
CNLP_6,CNLP_6_SE_BAT_023,2015-06-08
CNLP_6,CNLP_6_SE_BAT_023,2015-06-09
CNLP_6,CNLP_6_SW_BAT_044,2015-06-02
CNLP_6,CNLP_6_SW_BAT_044,2015-06-03
CNLP_6,CNLP_6_SW_BAT_044,2015-06-04
CNLP_6,CNLP_6_SW_BAT_044,2015-06-05
CNLP_6,CNLP_6_SW_BAT_044,2015-06-06
CNLP_6,CNLP_6_SW_BAT_044,2015-06-07
CNLP_6,CNLP_6_SW_BAT_044,2015-06-08
CNLP_7,CNLP_7_NE_BAT_205,2015-07-04
CNLP_7,CNLP_7_NE_BAT_205,2015-07-05
CNLP_7,CNLP_7_NE_BAT_205,2015-07-06
CNLP_7,CNLP_7_NE_BAT_205,2015-07-07
CNLP_7,CNLP_7_NE_BAT_205,2015-07-08
CNLP_7,CNLP_7_NE_BAT_205,2015-07-09
CNLP_7,CNLP_7_NW_BAT_010,2015-07-04
CNLP_7,CNLP_7_NW_BAT_010,2015-07-05
CNLP_7,CNLP_7_NW_BAT_010,2015-07-06
CNLP_7,CNLP_7_NW_BAT_010,2015-07-07
CNLP_7,CNLP_7_NW_BAT_010,2015-07-08
CNLP_7,CNLP_7_NW_BAT_010,2015-07-09
CNLP_7,CNLP_7_SE_H2,2015-07-04
CNLP_7,CNLP_7_SE_H2,2015-07-05
CNLP_7,CNLP_7_SE_H2,2015-07-06
CNLP_7,CNLP_7_SE_H2,2015-07-07
CNLP_7,CNLP_7_SE_H2,2015-07-08
CNLP_7,CNLP_7_SE_H2,2015-07-09
CNLP_7,CNLP_7_SW_M2,2015-07-04
CNLP_7,CNLP_7_SW_M2,2015-07-05
CNLP_7,CNLP_7_SW_M2,2015-07-06
CNLP_7,CNLP_7_SW_M2,2015-07-07
CNLP_7,CNLP_7_SW_M2,2015-07-08
CNLP_7,CNLP_7_SW_M2,2015-07-09
CNLP_8,CNLP_8_NE_BAT_047,2015-07-08
