CONUS_10KM,bedrock
75662,34405.26775984577
85375,34472.47888008617
77981,18442.1026895457
86765,49287.00864329991
78433,61937.39631328954
82593,203562.86603124757
77509,46888.38825741093
82134,87889.38290400438
86301,42134.910055564425
85839,31767.656089800596
82603,26712.60125791308
85371,91946.64691408705
85850,24643.57025298816
77977,24342.177641235492
84912,36391.767274328304
85836,65087.86416012498
85847,33540.885530240965
83062,58009.20150250598
86302,31449.166848017456
81661,516440.17877859186
84915,29854.058518683843
85379,28125.189390315714
80289,12101.563751397696
80756,8109.433367477297
84002,8841.859883006971
83073,12707.937210997705
84910,59231.047295313954
79826,9877.957118411921
76124,38394.53305699604
86781,14795.050976160675
80746,71160.91435656701
83531,23320.54948240042
84444,87836.11715899338
80759,6355.209421601806
77050,33942.81521192604
83066,25689.956736951335
85837,45840.01626069544
84909,67688.59965754027
79825,15286.705598944716
83995,25241.68824748707
86779,16521.07276727259
79360,33867.11613737888
81674,50817.91775881929
75659,42814.105316869434
83071,19419.561438011053
81664,340019.4704704261
80752,13716.072149210397
86752,401386.24860682193
85373,61718.8148200384
75657,42061.37978406473
86311,34398.54610754108
81220,8365.988624134257
84913,34464.89503845394
86780,16365.515171219837
79827,9022.810566161206
80751,20009.76831606477
77510,43942.18931457582
86771,31632.107863878435
79834,11467.416832308327
85376,32807.05010449316
81223,6355.209421601806
81665,305576.1246540082
84442,151332.5721897858
84449,50916.95553593036
83057,146599.68246588984
78439,23020.7665064402
81670,108860.58284674204
77055,20322.165943482254
77971,54424.32100948842
78434,54478.11154776842
85384,31398.084670225864
85843,26258.0915884237
86766,30340.86049611869
87228,79223.71561770434
87223,279557.90335234196
80292,6140.078203609051
86303,28144.92822891105
77053,25490.111984234354
83515,292695.7742127487
82598,72758.65884372793
87225,217993.75790938563
75661,39165.33767342862
86309,32838.58996547413
78446,16604.434955507113
78442,17700.00702610285
82600,49725.16745886982
80743,153907.6469164339
86769,26887.626180344254
85372,71714.40028361494
77518,19473.274798793853
77057,23306.46460944834
80291,6905.881176576899
81214,22366.24527933606
84452,32264.601125875495
87227,121704.23495565896
77511,39327.703589573015
81197,589625.4324939899
85828,317276.3810499928
84459,27020.48643826528
85374,44314.46774461244
85391,10257.825306308248
84455,27991.662323001194
85844,27058.874595112396
85367,202771.36777485683
81208,89098.3430914093
86318,13059.164846836855
81673,60908.68640330621
84458,28102.786843756872
80750,27753.787172781656
80757,8321.782691376351
86300,69778.71735064012
85383,31427.10685735264
76119,41376.2455043813
84448,64859.48946490414
84450,41287.959775369345
86757,269652.14820265595
80755,9154.122919667234
81216,12873.813069052212
84441,209953.70897507048
86317,14515.818918003788
82139,32041.50729888963
85829,287080.16234131024
85854,12614.873448180293
85826,333079.7997880784
85827,327630.84186923597
83051,412157.06822571653
83991,28798.717084525222
82612,7649.357251001942
82129,255409.23491494058
84916,29472.258515704718
86770,29260.730043989275
80296,5269.234631178608
78435,49772.72835651803
83982,119755.04001944848
86298,128915.81823173826
83061,70482.20013957059
82135,72934.91138110406
76590,25819.24378311806
81671,89097.22972190609
85838,33981.3019710824
83520,127255.579849422
86764,83456.01636664636
76127,26824.893629189322
85392,8267.258477412592
86297,152490.0729770804
82599,59725.05055808199
77054,23079.711645297255
84443,103798.97965536093
