CONUS_10KM,Precip_5_mm,Precip_6_mm,Precip_7_mm,Precip_8_mm,Precip_10_mm,temp_5_c,temp_6_c,temp_7_c,temp_8_c,temp_10_c
74742,92.0,88.0,85.0,64.0,31.0,15.700000000000001,21.5,24.700000000000003,23.6,11.700000000000001
74743,94.0,89.0,85.0,65.0,31.0,15.8,21.6,24.8,23.6,11.700000000000001
74744,96.0,89.0,85.0,66.0,32.0,15.9,21.700000000000003,25.0,23.700000000000003,11.700000000000001
74745,98.0,90.0,84.0,67.0,33.0,16.0,21.8,25.0,23.700000000000003,11.8
74746,98.0,91.0,83.0,69.0,35.0,15.9,21.700000000000003,25.0,23.700000000000003,11.8
74747,97.0,91.0,84.0,71.0,36.0,15.9,21.700000000000003,25.0,23.700000000000003,11.8
74748,96.0,91.0,83.0,73.0,37.0,15.9,21.8,24.900000000000002,23.700000000000003,11.8
74749,95.0,90.0,82.0,74.0,37.0,16.1,21.8,25.0,23.8,11.9
74750,95.0,89.0,80.0,76.0,37.0,16.2,22.0,25.1,23.8,12.0
74751,96.0,90.0,81.0,77.0,37.0,16.2,21.900000000000002,25.1,23.700000000000003,11.9
74752,98.0,91.0,81.0,79.0,37.0,16.0,21.700000000000003,24.900000000000002,23.5,11.8
74753,99.0,91.0,81.0,79.0,37.0,16.0,21.700000000000003,24.900000000000002,23.5,11.700000000000001
74754,101.0,92.0,82.0,80.0,38.0,16.0,21.700000000000003,24.900000000000002,23.5,11.700000000000001
74755,101.0,92.0,81.0,79.0,38.0,16.2,21.900000000000002,25.0,23.700000000000003,11.8
74756,103.0,92.0,81.0,80.0,39.0,16.400000000000002,22.1,25.1,23.8,12.0
74757,104.0,92.0,82.0,80.0,40.0,16.400000000000002,22.200000000000003,25.3,23.900000000000002,12.100000000000001
74758,105.0,94.0,84.0,81.0,42.0,16.3,22.1,25.200000000000003,23.8,12.0
74759,105.0,94.0,85.0,82.0,43.0,16.3,22.0,25.1,23.700000000000003,12.0
74760,106.0,95.0,85.0,83.0,46.0,16.5,22.1,25.1,23.8,12.0
74761,105.0,96.0,84.0,84.0,48.0,16.7,22.200000000000003,25.3,23.900000000000002,12.100000000000001
74762,104.0,97.0,83.0,85.0,49.0,16.900000000000002,22.400000000000002,25.5,24.1,12.4
74763,104.0,98.0,83.0,86.0,50.0,16.900000000000002,22.400000000000002,25.400000000000002,24.0,12.4
74764,105.0,102.0,85.0,88.0,51.0,16.7,22.200000000000003,25.3,24.0,12.4
74765,106.0,105.0,88.0,90.0,52.0,16.8,22.3,25.3,23.900000000000002,12.5
74766,107.0,107.0,90.0,91.0,52.0,16.8,22.3,25.200000000000003,24.0,12.5
74767,106.0,109.0,91.0,93.0,53.0,16.900000000000002,22.3,25.400000000000002,24.1,12.700000000000001
74768,107.0,110.0,92.0,96.0,54.0,16.8,22.200000000000003,25.3,24.1,12.700000000000001
74769,107.0,111.0,93.0,99.0,54.0,16.8,22.1,25.3,24.0,12.600000000000001
74770,108.0,111.0,94.0,101.0,55.0,16.900000000000002,22.200000000000003,25.3,24.0,12.600000000000001
74771,109.0,111.0,93.0,101.0,55.0,17.2,22.6,25.6,24.3,12.8
74772,110.0,112.0,93.0,103.0,57.0,17.1,22.400000000000002,25.400000000000002,24.1,12.700000000000001
74773,110.0,112.0,93.0,103.0,59.0,17.2,22.6,25.5,24.200000000000003,12.700000000000001
74774,109.0,114.0,95.0,104.0,62.0,17.1,22.5,25.400000000000002,24.1,12.600000000000001
74775,108.0,115.0,96.0,103.0,62.0,17.3,22.700000000000003,25.6,24.3,12.700000000000001
74776,109.0,117.0,98.0,104.0,63.0,17.1,22.5,25.3,24.1,12.600000000000001
74777,111.0,119.0,100.0,105.0,64.0,17.2,22.400000000000002,25.3,23.900000000000002,12.600000000000001
74778,110.0,119.0,101.0,105.0,64.0,17.400000000000002,22.6,25.400000000000002,24.200000000000003,12.8
74779,110.0,120.0,103.0,106.0,65.0,17.5,22.8,25.5,24.200000000000003,13.0
74780,111.0,120.0,104.0,106.0,66.0,17.6,22.8,25.5,24.1,13.0
74781,111.0,119.0,106.0,107.0,67.0,17.6,22.8,25.5,24.1,13.0
74782,112.0,117.0,107.0,108.0,68.0,17.7,22.900000000000002,25.5,24.0,13.0
74783,112.0,116.0,106.0,107.0,69.0,18.0,23.1,25.6,24.1,13.100000000000001
74784,112.0,116.0,107.0,108.0,69.0,17.900000000000002,23.0,25.5,24.0,13.100000000000001
74785,113.0,116.0,106.0,107.0,70.0,17.900000000000002,23.0,25.5,24.1,13.200000000000001
74786,113.0,116.0,107.0,108.0,71.0,17.900000000000002,22.900000000000002,25.400000000000002,23.900000000000002,13.100000000000001
75192,80.0,75.0,69.0,51.0,23.0,15.4,20.900000000000002,24.400000000000002,23.1,11.3
75193,82.0,76.0,70.0,53.0,24.0,15.100000000000001,20.700000000000003,24.200000000000003,22.900000000000002,11.100000000000001
75194,83.0,78.0,71.0,53.0,25.0,15.100000000000001,20.900000000000002,24.400000000000002,23.1,11.100000000000001
75195,84.0,79.0,73.0,54.0,26.0,15.200000000000001,21.1,24.5,23.1,11.200000000000001
75196,85.0,82.0,74.0,53.0,26.0,15.4,21.3,24.8,23.400000000000002,11.3
75197,89.0,85.0,77.0,55.0,28.0,15.0,20.900000000000002,24.400000000000002,23.0,10.9
75198,90.0,86.0,79.0,55.0,28.0,15.0,21.0,24.400000000000002,23.0,10.9
75199,92.0,88.0,81.0,56.0,29.0,14.9,20.900000000000002,24.400000000000002,23.0,10.9
75200,92.0,89.0,83.0,56.0,30.0,15.0,20.900000000000002,24.400000000000002,23.0,10.9
75201,91.0,89.0,83.0,57.0,30.0,15.200000000000001,21.1,24.6,23.200000000000003,11.200000000000001
75202,91.0,89.0,84.0,60.0,30.0,15.200000000000001,21.0,24.400000000000002,23.1,11.200000000000001
75203,91.0,89.0,85.0,62.0,31.0,15.3,21.1,24.400000000000002,23.200000000000003,11.5
75204,90.0,88.0,84.0,62.0,30.0,15.600000000000001,21.400000000000002,24.6,23.5,11.700000000000001
75205,91.0,89.0,85.0,64.0,30.0,15.700000000000001,21.400000000000002,24.700000000000003,23.5,11.600000000000001
75206,93.0,89.0,84.0,65.0,30.0,15.8,21.6,24.900000000000002,23.5,11.600000000000001
75207,96.0,91.0,84.0,66.0,31.0,15.9,21.700000000000003,24.900000000000002,23.6,11.600000000000001
75208,98.0,92.0,84.0,68.0,33.0,15.8,21.5,24.8,23.5,11.5
75209,98.0,92.0,84.0,69.0,34.0,15.9,21.700000000000003,24.900000000000002,23.6,11.600000000000001
