CONUS10k,Tree_TCA,Tree_CONNECT_,Tree_CLUMPY,Tree_NDCA,Water_CLUMPY,Water_CA,Developed_CA
74742,0.27,1.7716,0.3324,2.0,0.7874,4.23,149.85
74743,38.61,2.6235,0.6929,62.0,NA,NA,160.47
74744,67.86,4.9679,0.7279,82.0,0.6295,2.97,184.14
74745,91.35,3.3114,0.6971,139.0,0.6176,1.98,201.96
74746,78.75,2.6954,0.691,124.0,0.88,1.53,188.73
74747,9.09,2.5175,0.6036,37.0,0.6302,7.02,218.43
74748,15.57,3.3234,0.6353,31.0,0.6557,4.86,194.13
74749,4.68,5.7143,0.6185,15.0,0.6423,21.06,198.45
74750,82.98,2.3706,0.7054,100.0,0.6199,19.26,296.64
74751,105.57,2.3602,0.6955,124.0,0.6479,43.74,309.15
74752,104.13,2.414,0.6789,138.0,0.9174,428.31,222.93
74753,90.18,2.8919,0.7229,85.0,0.5724,27.9,203.22
74754,50.76,3.6716,0.6589,103.0,0.572,36.99,203.49
74755,50.04,1.9773,0.6249,117.0,0.6352,71.64,184.5
74756,68.4,1.5935,0.6467,117.0,0.678,80.46,184.95
74757,88.11,1.7739,0.6454,131.0,0.6253,67.41,198.72
74758,36.72,1.5156,0.5676,100.0,0.6529,38.07,197.01
74759,90.9,1.3989,0.6392,138.0,0.6409,42.75,201.51
74760,201.06,1.5847,0.6796,212.0,0.6264,83.16,256.86
74761,291.87,2.046,0.7225,183.0,0.6453,119.88,265.59
74762,157.59,1.6893,0.6388,190.0,0.6417,147.15,608.49
74763,286.11,1.9347,0.7539,119.0,0.6705,153.54,278.46
74764,132.93,2.5811,0.7644,47.0,0.7052,56.79,248.31
74765,12.51,1.5123,0.5896,21.0,0.6539,38.7,267.3
74766,16.83,1.6746,0.5889,35.0,0.6409,27.63,363.51
74767,235.53,1.9406,0.7154,165.0,0.721,69.93,249.66
74768,220.5,1.6132,0.6783,188.0,0.6384,26.28,239.04
74769,389.43,1.5816,0.6779,322.0,0.6778,40.5,231.66
74770,759.33,1.4917,0.7146,379.0,0.5621,44.55,244.08
74771,493.02,1.701,0.7099,314.0,0.7227,267.93,233.55
74772,116.01,1.2704,0.6499,141.0,0.7347,75.24,258.93
74773,202.5,1.3255,0.6581,237.0,0.7202,83.88,314.19
74774,184.77,1.2392,0.644,228.0,0.7763,86.85,255.6
74775,329.49,1.4404,0.6726,275.0,0.7494,158.67,229.14
74776,169.65,1.108,0.624,226.0,0.8007,99.27,259.83
74777,524.16,1.2836,0.6938,271.0,0.7032,56.07,254.61
74778,664.29,1.2355,0.6838,369.0,0.58,40.23,196.2
74779,613.35,1.1913,0.6772,325.0,0.7094,167.85,234.27
74780,666.18,1.2262,0.7024,315.0,0.697,210.06,238.23
74781,376.38,1.237,0.6514,314.0,0.7096,90.45,232.38
74782,792.09,1.3691,0.7206,287.0,0.7253,131.94,259.56
74783,264.24,1.1731,0.6453,191.0,0.7275,128.88,684.45
74784,151.11,1.6598,0.6852,112.0,0.6575,125.91,251.55
74785,868.14,2.1299,0.8054,175.0,0.8982,645.21,387.36
74786,991.98,2.1607,0.8156,151.0,0.8802,121.95,385.83
75192,53.82,4.3196,0.6873,53.0,0.5861,1.71,165.24
75193,71.91,3.4183,0.7176,51.0,0.6111,1.17,251.37
75194,64.17,3.4615,0.7047,47.0,0.389,20.88,248.04
75195,96.3,4.244,0.7019,74.0,0.3902,39.6,203.22
75196,78.39,2.8009,0.6634,95.0,0.506,47.7,249.93
75197,0.0,4.2807,0.2089,0.0,NA,NA,171.99
75198,0.09,2.3256,0.2278,1.0,NA,NA,144.0
75199,0.0,1.7316,0.3105,0.0,NA,NA,205.2
75200,0.63,4.5884,0.3769,2.0,NA,NA,225.99
75201,9.45,3.6926,0.5174,24.0,0.8,0.45,243.9
75202,7.47,3.0692,0.4934,15.0,NA,NA,155.97
75203,0.36,4.5571,0.2593,2.0,NA,NA,95.13
75204,3.78,4.1264,0.5058,7.0,NA,NA,216.09
75205,25.56,2.6316,0.6178,40.0,0.8536,2.34,204.12
75206,35.91,2.3041,0.6036,69.0,0.5384,0.9,276.21
75207,39.69,3.3154,0.6657,57.0,0.5832,2.07,253.89
75208,21.24,5.1209,0.6906,29.0,0.7222,1.17,193.05
75209,17.91,3.7084,0.6471,48.0,0.6666,1.44,152.91
75210,22.23,3.7639,0.6494,50.0,0.5278,7.2,174.96
75211,36.0,3.1348,0.6612,85.0,0.6598,5.22,205.74
75212,35.46,3.1329,0.6775,63.0,0.5934,11.34,211.59
75213,96.48,4.6585,0.7788,37.0,0.564,31.32,192.78
75214,336.87,2.6832,0.781,114.0,0.8967,536.4,438.21
75215,105.57,2.6275,0.7016,82.0,0.9812,3663.9,205.65
75216,139.5,2.1746,0.6853,127.0,0.9463,662.94,370.53
75217,185.04,2.008,0.6988,136.0,0.5842,71.46,279.63
75218,269.01,1.4406,0.6922,198.0,0.621,86.67,463.05
75219,142.65,1.5958,0.6696,148.0,0.6591,118.98,283.59
75220,91.62,2.0162,0.6234,134.0,0.7079,111.96,269.91
75221,275.4,1.9425,0.7304,156.0,0.729,133.2,381.33
75222,219.33,1.821,0.6944,164.0,0.7227,147.42,349.29
75223,260.37,2.4637,0.767,98.0,0.7181,113.13,332.73
75224,56.25,2.7412,0.6842,49.0,0.6564,18.36,211.59
75225,9.0,2.4055,0.5601,21.0,0.6236,21.69,262.08
75226,32.31,2.0376,0.685,19.0,0.6308,21.96,226.08
75227,16.65,3.4749,0.611,44.0,0.645,33.3,273.87
75228,34.92,1.9479,0.5917,75.0,0.5658,24.03,379.26
75229,106.29,1.9536,0.6828,104.0,0.6135,59.85,323.01
75230,280.98,1.7966,0.7222,177.0,0.657,125.73,253.8
75231,68.04,1.4548,0.6392,100.0,0.7243,47.7,269.55
75232,103.86,1.6095,0.6613,123.0,0.7656,46.62,275.76
75233,272.43,1.6103,0.689,212.0,0.7085,223.38,827.55
75234,321.93,1.8817,0.7563,133.0,0.7807,31.14,232.56
75235,217.71,1.9193,0.7099,133.0,0.8336,183.42,298.26
75236,156.78,1.288,0.672,136.0,0.7579,126.72,258.12
75237,269.37,1.6489,0.6614,251.0,0.7416,203.76,506.07
75238,325.26,1.3321,0.6648,316.0,0.7812,99.0,188.01
75239,337.41,1.2952,0.6611,298.0,0.809,154.26,216.18
75240,321.21,1.1781,0.6412,281.0,0.8171,122.67,217.89
75241,440.82,1.2359,0.6388,405.0,0.5408,45.54,282.78
75242,594.54,1.1986,0.668,357.0,0.6342,77.04,315.0
75243,361.71,1.0171,0.6398,275.0,0.657,206.46,306.27
75244,338.49,1.0118,0.6234,322.0,0.7012,162.27,264.78
75245,267.75,0.9828,0.5962,291.0,0.6677,134.19,276.3
75246,168.39,1.1133,0.5952,256.0,0.5433,45.72,280.08
75247,488.79,1.3576,0.7209,254.0,0.8019,97.47,250.74
75248,324.36,2.1203,0.715,168.0,0.8854,441.0,346.86
75655,5.4,2.5532,0.3955,24.0,0.6715,3.6,235.35
75656,20.97,4.6279,0.6713,30.0,0.7984,14.58,169.29
75657,23.49,5.7114,0.6168,27.0,0.8059,31.95,200.79
75658,2.43,6.3768,0.4853,4.0,0.3748,3.06,196.11
75659,54.54,3.9633,0.7107,35.0,0.6146,44.01,363.42
75660,122.22,2.2382,0.7186,65.0,0.5393,61.65,211.41
75661,129.69,3.8095,0.7351,66.0,0.6033,72.27,186.57
75662,308.61,4.1213,0.8035,73.0,0.8444,192.6,221.58
75663,21.87,6.5826,0.6598,33.0,0.9858,489.15,231.21
75664,0.0,2.849,0.2581,0.0,NA,NA,217.62
75665,5.4,4.8513,0.4976,18.0,NA,NA,166.68
75666,30.24,2.306,0.6243,44.0,0.5999,3.24,193.41
75667,4.14,1.63,0.4093,17.0,NA,NA,192.15
75668,0.0,1.2714,0.1558,0.0,NA,NA,216.0
75669,0.0,1.3082,0.1404,0.0,0.4615,0.9,216.54
75670,1.26,1.3152,0.2418,4.0,0.7647,1.08,150.66
75671,0.9,2.1277,0.5314,7.0,0.5242,4.32,276.3
75672,25.47,2.9519,0.6512,73.0,0.6427,3.06,251.73
75673,30.96,2.8651,0.6981,53.0,0.6748,9.81,320.31
75674,27.99,3.2415,0.6624,41.0,0.6772,10.62,229.5
75675,28.71,3.5558,0.6721,51.0,0.6113,10.26,261.36
75676,298.89,2.4695,0.7629,131.0,0.5805,133.56,299.79
75677,74.25,3.228,0.7137,83.0,0.6004,22.77,367.56
75678,38.52,4.0559,0.703,29.0,0.6072,27.54,225.72
75679,78.39,3.3242,0.7347,52.0,0.5884,24.39,181.62
75680,14.76,1.8141,0.6392,25.0,0.6389,54.63,147.15
75681,33.39,2.7259,0.6694,42.0,0.6432,52.92,192.6
75682,48.51,2.9024,0.6923,45.0,0.5783,34.2,149.13
75683,26.91,3.398,0.6142,56.0,0.6144,36.63,197.01
75684,9.45,2.8571,0.6099,16.0,0.6609,34.29,189.36
75685,23.49,2.4952,0.6179,46.0,0.731,71.64,271.62
75686,20.16,2.03,0.6155,33.0,0.5947,38.34,241.83
75687,9.27,2.2368,0.5772,15.0,0.5704,36.54,219.69
75688,190.8,2.7652,0.7331,116.0,0.6455,33.21,315.0
75689,351.36,2.1169,0.7729,116.0,0.6766,50.13,243.72
75690,164.25,2.6508,0.7208,104.0,0.6539,121.41,231.12
75691,144.09,1.886,0.7261,89.0,0.6599,142.92,223.47
75692,111.78,2.3934,0.6741,119.0,0.6116,130.59,422.01
75693,170.37,2.1194,0.7348,106.0,0.6651,88.38,261.36
75694,354.87,1.7564,0.673,334.0,0.6258,147.06,292.41
75695,363.42,1.4377,0.6797,299.0,0.6792,160.92,276.66
75696,217.98,2.0663,0.7376,125.0,0.8208,108.0,308.97
75697,73.17,1.8613,0.6982,66.0,0.8006,82.62,284.94
75698,164.88,1.5621,0.7326,77.0,0.7764,142.02,292.95
75699,83.43,1.3445,0.6393,103.0,0.7844,138.78,358.56
75700,230.4,1.5959,0.6636,232.0,0.7371,206.91,331.29
75701,178.83,1.1819,0.6267,207.0,0.8242,135.63,186.57
75702,93.69,1.0379,0.5497,195.0,0.8195,143.73,234.9
75703,300.69,1.0604,0.6446,243.0,0.7553,93.33,243.81
75704,446.76,1.2337,0.6522,361.0,0.5979,52.38,263.52
75705,438.3,1.1264,0.6192,401.0,0.6638,168.93,276.48
75706,244.71,1.0938,0.6017,353.0,0.7982,165.51,271.98
75707,334.89,1.0732,0.6528,259.0,0.532,21.87,240.48
75708,348.66,1.1745,0.6157,344.0,0.5713,60.21,296.91
75709,475.02,1.1588,0.6931,269.0,0.531,16.11,249.84
75710,1752.21,1.9662,0.8055,261.0,0.9025,434.25,256.86
76118,0.27,2.5794,0.3032,1.0,NA,NA,182.79
76119,0.0,8.5561,0.0721,0.0,0.7754,2.7,153.18
76120,0.0,5.5556,-1.0,0.0,NA,NA,163.17
76121,0.0,3.2258,0.092,0.0,NA,NA,140.76
76122,2.34,3.9034,0.4957,11.0,0.7178,4.14,229.23
76123,7.56,3.5379,0.5873,17.0,NA,NA,162.99
76124,5.58,4.2748,0.5208,17.0,NA,NA,151.83
76125,10.89,5.1436,0.5879,19.0,0.9724,134.19,229.95
76126,39.87,3.6437,0.6291,48.0,0.9869,855.99,267.12
76127,136.17,3.0997,0.7474,64.0,0.7707,11.25,300.15
