SITE,DEPLOYMENT,NIGHT,SPECIES,COUNT,MLE,PRES
SH_11,SH_11_NW,2015-07-12,EPFU,0.0,1.0,0.0
SH_R5,SH_R5_SE,2015-06-15,MYSE,0.0,1.0,0.0
RBP_10,RBP_10_NE,2015-08-08,NYHU,20.0,0.0,1.0
MAP_R2,MAP_R2_NE,2015-07-23,EPFU,13.0,0.0,1.0
SH_8,SH_8_SW,2015-07-18,PESU,2.0,0.2756918,0.0
SPSP_R1,SPSP_R1_SE,2015-06-28,MYVO,4.0,8.452e-4,1.0
MAP_R2,MAP_R2_NW,2015-07-23,LABO,0.0,1.0,0.0
PRE_2,PRE_2_SE,2015-07-02,MYLU,0.0,1.0,0.0
FTRP_8,FTRP_8_NW,2015-06-26,MYCI,0.0,1.0,0.0
FTRP_5,FTRP_5_NE,2015-06-09,MYCI,3.0,0.0137969,1.0
CNLP_1,CNLP_1_NW,2015-06-02,LACI,11.0,0.0,1.0
RBP_5,RBP_5_SW,2015-07-09,LACI,21.0,0.0,1.0
NNLH_1,NNLH_1_NE,2015-07-07,EPFU,9.0,0.0013161,1.0
RPAB_1,RPAB_1_NW,2015-08-01,LABO,0.0,1.0,0.0
SH_4,SH_4_SE,2015-06-19,LANO,1.0,0.1895269,0.0
SH_11,SH_11_NE,2015-07-15,NYHU,0.0,1.0,0.0
CNLP_3,CNLP_3_SE,2015-05-29,LABO,0.0,1.0,0.0
SH_R2,SH_R2_NE,2015-06-13,MYCI,0.0,1.0,0.0
RBP_4,RBP_4_SE,2015-08-03,PESU,0.0,1.0,0.0
RBP_4,RBP_4_NE,2015-08-03,MYLU,0.0,1.0,0.0
SH_6,SH_6_NE,2015-06-05,NYHU,0.0,1.0,0.0
PRE_2,PRE_2_SE,2015-07-02,MYTH,0.0,1.0,0.0
RPAB_2,RPAB_2_NW,2015-06-04,LANO,0.0,1.0,0.0
TSP_1,TSP_1_NE,2015-07-26,MYSE,0.0,1.0,0.0
CNLP_8,CNLP_8_NW,2015-07-08,NYHU,0.0,1.0,0.0
LA_R6,LA_R6_NE,2015-07-04,LANO,0.0,1.0,0.0
CNLP_4,CNLP_4_SE,2015-07-15,LACI,43.0,0.0,1.0
RPAB_5,RPAB_5_NE,2015-08-10,MYSE,0.0,1.0,0.0
SAST_R3,SAST_R3_SW,2015-06-27,EPFU,12.0,0.0,1.0
NNLH_5,NNLH_5_SE,2015-07-27,NYHU,0.0,1.0,0.0
PRV_3,PRV_3_NW,2015-06-20,MYCI,3.0,0.0770846,0.0
SH_4,SH_4_SE,2015-06-21,MYSE,0.0,1.0,0.0
SH_R2,SH_R2_SE,2015-06-16,LABO,0.0,1.0,0.0
RBP_9,RBP_9_NW,2015-06-21,EPFU,4.0,0.0609025,0.0
CNLP_4,CNLP_4_NE,2015-07-14,MYCI,12.0,0.0,1.0
TSP_1,TSP_1_SE,2015-07-25,LABO,1.0,1.0,0.0
SH_R5,SH_R5_NE,2015-06-11,LANO,3.0,0.5802983,0.0
RPAB_1,RPAB_1_NE,2015-08-02,LABO,0.0,1.0,0.0
FTRP_R6,FTRP_R6_SE,2015-06-12,LABO,1.0,0.0018952,0.0
NNLH_8,NNLH_8_SW,2015-07-23,MYLU,4.0,0.0015696,1.0
RBP_9,RBP_9_NW,2015-06-23,MYLU,1.0,1.0,0.0
NNLH_5,NNLH_5_SW,2015-07-26,LACI,66.0,0.0,1.0
PBAH_1,PBAH_1_SE,2015-06-20,MYTH,0.0,1.0,0.0
WMAMP_2,WMAMP_2_SE,2015-07-20,NYHU,0.0,1.0,0.0
WMAMP_1,WMAMP_1_SW,2015-07-19,MYLU,3.0,0.0226503,1.0
SAST_R6,SAST_R6_NE,2015-06-28,MYSE,0.0,1.0,0.0
RBP_5,RBP_5_SW,2015-07-09,NYHU,167.0,0.0,1.0
NNLH_7,NNLH_7_SW,2015-07-25,LACI,7.0,0.5305159,0.0
SH_16,SH_16_NE,2015-07-23,NYHU,4.0,0.1602737,0.0
CNLP_6,CNLP_6_SE,2015-06-07,NYHU,1.0,0.2186384,0.0
PBAH_1,PBAH_1_NW,2015-06-21,LABO,0.0,1.0,0.0
SMH_1,SMH_1_NW,2015-07-29,PESU,0.0,1.0,0.0
NNLH_1,NNLH_1_SW,2015-07-11,EPFU,65.0,0.0,1.0
SMH_1,SMH_1_SW,2015-08-01,EPFU,0.0,1.0,0.0
SH_19,SH_19_NE,2015-06-30,MYLU,0.0,1.0,0.0
RPAB_4,RPAB_4_SW,2015-08-09,LACI,0.0,1.0,0.0
SH_19,SH_19_SW,2015-06-28,MYVO,2.0,0.0055693,1.0
WMAMP_2,WMAMP_2_NE,2015-07-17,EPFU,2.0,0.0783582,0.0
SH_R3,SH_R3_NE,2015-06-21,LACI,2.0,0.0170988,1.0
NNLH_6,NNLH_6_SE,2015-07-23,MYLU,11.0,0.0145573,1.0
SH_8,SH_8_NW,2015-07-18,LABO,4.0,1.686e-4,1.0
RBP_2,RPB_2_NW,2015-06-04,NYHU,0.0,1.0,0.0
LA_R14,LA_R14_NW,2015-06-30,LACI,1.0,0.1783004,0.0
CNLP_7,CNLP_7_SW,2015-07-04,EPFU,3.0,0.8973323,0.0
PRVAT_1,PRVAT_1_NE,2015-06-15,LABO,6.0,0.0,1.0
CNLP_6,CNLP_6_SE,2015-06-06,NYHU,3.0,0.0791051,0.0
FTRP_5,FTRP_5_NW,2015-06-14,LABO,0.0,1.0,0.0
FTRP_1,FTRP_1_SE,2015-06-14,LANO,0.0,1.0,0.0
NRB_1,NRB_1_SW,2015-07-12,MYSE,1.0,0.1332301,0.0
FTRP_7,FTRP_7_SW,2015-06-27,MYTH,0.0,1.0,0.0
CNLP_8,CNLP_8_SW,2015-07-13,MYCI,0.0,1.0,0.0
CNLP_8,CNLP_8_SE,2015-07-11,LANO,14.0,0.5332473,0.0
ALA_R3,ALA_R3_SW,2015-06-17,LANO,0.0,1.0,0.0
MRP_1,MRP_1_NE,2015-08-06,NYHU,0.0,1.0,0.0
SAST_R4,SAST_R4_SW,2015-08-08,MYCI,0.0,1.0,0.0
RBP_9,RBP_9_NW,2015-06-14,LABO,21.0,0.0,1.0
LA_4,LA_4_NE,2015-07-17,LANO,11.0,2.887e-4,1.0
SAST_R3,SAST_R3_NW,2015-06-25,LABO,0.0,1.0,0.0
LAGDH_3,LAGDH_3_NW,2015-06-09,EPFU,169.0,0.0,1.0
RBP_3,RBP_3_SW,2015-07-30,NYHU,6.0,0.0216746,1.0
SPSP_R1,SPSP_R1_SE,2015-06-26,EPFU,10.0,1.1e-6,1.0
SH_R5,SH_R5_SE,2015-06-15,LABO,0.0,1.0,0.0
NNLH_5,NNLH_5_SE,2015-07-23,EPFU,25.0,0.0,1.0
FTRP_8,FTRP_8_SW,2015-06-26,PESU,0.0,1.0,0.0
RBP_9,RBP_9_SE,2015-06-23,LANO,34.0,0.1119746,0.0
PP_1,PP_1_SW,2015-07-19,LANO,38.0,1.0,0.0
RBP_1,RBP_1_SE,2015-08-02,LANO,5.0,1.0,0.0
NLH_2,NLH_2_NW,2015-07-14,MYLU,17.0,0.0087532,1.0
SH_8,SH_8_NW,2015-07-16,LACI,5.0,0.0074683,1.0
LPAP_1,LPAP_1_SE,2015-07-25,LABO,17.0,4.403e-4,1.0
FTRP_8,FTRP_8_NW,2015-06-24,MYCI,2.0,0.1652897,0.0
RBP_9,RBP_9_SW,2015-06-25,MYSE,0.0,1.0,0.0
CNLP_7,CNLP_7_SW,2015-07-08,MYCI,0.0,1.0,0.0
WMAMP_3,WMAMP_3_NW,2015-07-14,NYHU,1.0,0.8997739,0.0
LA_R6,LA_R6_NW,2015-07-03,LABO,0.0,1.0,0.0
CNLP_8,CNLP_8_NW,2015-07-09,EPFU,0.0,1.0,0.0
NLH_2,NLH_2_SW,2015-07-13,EPFU,64.0,0.0,1.0
WRB_R1,WRB_R1_NE,2015-06-29,EPFU,28.0,0.0,1.0
PRV_4,PRV_4_SW,2015-06-01,NYHU,20.0,9.177e-4,1.0
LA_R14,LA_R14_NE,2015-07-01,LACI,1.0,0.1960467,0.0
SAST_R6,SAST_R6_NW,2015-06-30,MYTH,0.0,1.0,0.0
SH_13,SH_13_SE,2015-07-04,EPFU,0.0,1.0,0.0
CNLP_1,CNLP_1_NE,2015-05-29,MYSE,0.0,1.0,0.0
PRVAT_2,PRVAT_2_NE,2015-06-17,LANO,0.0,1.0,0.0
CNLP_8,CNLP_8_NW,2015-07-09,NYHU,0.0,1.0,0.0
RPAB_3,RPAB_3_SW,2015-06-01,EPFU,3.0,0.61705,0.0
PRE_1,PRE_1_SE,2015-07-06,MYTH,0.0,1.0,0.0
RPAB_5,RPAB_5_NE,2015-08-11,LANO,2.0,1.0,0.0
NNLH_5,NNLH_5_SE,2015-07-24,EPFU,4.0,0.2138154,0.0
TSP_1,TSP_1_SW,2015-07-24,LABO,8.0,1.727e-4,1.0
NNLH_1,NNLH_1_NW,2015-07-08,NYHU,151.0,0.0,1.0
NLH_3,NLH_3_NW,2015-07-27,NYHU,0.0,1.0,0.0
PRV_2,PRV_2_NW,2015-06-08,LACI,2.0,0.0672477,0.0
PRV_4,PRV_4_NW,2015-06-05,EPFU,15.0,3.8e-6,1.0
RPAB_2,RPAB_2_NE,2015-06-07,LABO,16.0,0.0,1.0
RBP_11,RBP_11_SW,2015-08-14,EPFU,31.0,0.0,1.0
FTRP_R17,FTRP_R17_SW,2015-06-28,EPFU,0.0,1.0,0.0
CNLP_3,CNLP_3_NE,2015-06-02,LANO,0.0,1.0,0.0
RBP_1,RBP_1_SW,2015-08-01,MYSE,9.0,0.0,1.0
SH_1,SH_1_SE,2015-06-23,LABO,0.0,1.0,0.0
SH_19,SH_19_NE,2015-06-30,MYSE,0.0,1.0,0.0
