file,ZCA,thisDate,start_Time,end_Time,errors,btryDead,warnings,buffer,first_btry,last_btry,mean_temp,min_temp,mid_n_temp
F:/2015 ZCA Files/ALA_2/ALA_2_NE_1004C/SN314240 2015-06-24 log.csv,a:/SN314240 2015-06-24.zca,2015-06-24,20:59:18,06:43:01,0,NA,0,0,14:43:06,06:41:13,1687.0,1375.0,1806.0
F:/2015 ZCA Files/ALA_2/ALA_2_NE_1004C/SN314240 2015-06-25 log.csv,a:/SN314240 2015-06-25.zca,2015-06-25,20:59:24,06:43:22,0,NA,0,0,12:00:00,06:41:18,1430.0,1300.0,1400.0
F:/2015 ZCA Files/ALA_2/ALA_2_NE_1004C/SN314240 2015-06-26 log.csv,a:/SN314240 2015-06-26.zca,2015-06-26,20:59:26,06:43:45,0,NA,0,0,12:00:00,06:41:18,1403.0,1200.0,1417.0
F:/2015 ZCA Files/ALA_2/ALA_2_NE_1004C/SN314240 2015-06-27 log.csv,a:/SN314240 2015-06-27.zca,2015-06-27,20:59:27,06:44:10,0,NA,0,0,12:00:00,06:41:21,1597.0,1225.0,1606.0
F:/2015 ZCA Files/ALA_2/ALA_2_NE_1004C/SN314240 2015-06-28 log.csv,a:/SN314240 2015-06-28.zca,2015-06-28,20:59:25,06:44:36,0,NA,0,0,12:00:00,06:41:20,1537.0,1300.0,1542.0
F:/2015 ZCA Files/ALA_2/ALA_2_NE_1004C/SN314240 2015-06-29 log.csv,a:/SN314240 2015-06-29.zca,2015-06-29,20:59:23,06:45:04,0,NA,0,0,12:00:00,06:41:17,1589.0,1350.0,1525.0
F:/2015 ZCA Files/ALA_2/ALA_2_NW_BAT_207/SN314278 2015-06-24 log.csv,a:/SN314278 2015-06-24.zca,2015-06-24,20:59:36,06:43:18,0,NA,0,0,17:20:20,06:41:31,1866.0,1625.0,1969.0
F:/2015 ZCA Files/ALA_2/ALA_2_NW_BAT_207/SN314278 2015-06-25 log.csv,a:/SN314278 2015-06-25.zca,2015-06-25,20:59:41,06:43:40,0,NA,0,0,12:00:00,06:41:35,1614.0,1525.0,1550.0
F:/2015 ZCA Files/ALA_2/ALA_2_NW_BAT_207/SN314278 2015-06-26 log.csv,a:/SN314278 2015-06-26.zca,2015-06-26,20:59:44,06:44:03,0,NA,0,0,12:00:00,06:41:39,1633.0,1475.0,1594.0
F:/2015 ZCA Files/ALA_2/ALA_2_NW_BAT_207/SN314278 2015-06-27 log.csv,a:/SN314278 2015-06-27.zca,2015-06-27,20:59:45,06:44:27,0,NA,0,0,12:00:00,06:41:40,1633.0,1225.0,1656.0
F:/2015 ZCA Files/ALA_2/ALA_2_NW_BAT_207/SN314278 2015-06-28 log.csv,a:/SN314278 2015-06-28.zca,2015-06-28,20:59:43,06:44:54,0,NA,0,0,12:00:00,06:41:38,1739.0,1525.0,1744.0
F:/2015 ZCA Files/ALA_2/ALA_2_NW_BAT_207/SN314278 2015-06-29 log.csv,a:/SN314278 2015-06-29.zca,2015-06-29,20:59:40,06:45:22,0,NA,0,0,12:00:00,06:41:34,1844.0,1475.0,1625.0
F:/2015 ZCA Files/ALA_2/ALA_2_SE_BAT_026/SN314271 2015-06-24 log.csv,a:/SN314271 2015-06-24.zca,2015-06-24,20:59:19,06:43:08,0,NA,0,0,15:20:10,06:41:14,1669.0,1425.0,1750.0
F:/2015 ZCA Files/ALA_2/ALA_2_SE_BAT_026/SN314271 2015-06-25 log.csv,a:/SN314271 2015-06-25.zca,2015-06-25,20:59:24,06:43:30,0,NA,0,0,12:00:00,06:41:19,1399.0,1300.0,1325.0
F:/2015 ZCA Files/ALA_2/ALA_2_SE_BAT_026/SN314271 2015-06-26 log.csv,a:/SN314271 2015-06-26.zca,2015-06-26,20:59:27,06:43:53,0,NA,0,0,12:00:00,06:41:21,1438.0,1250.0,1462.0
F:/2015 ZCA Files/ALA_2/ALA_2_SE_BAT_026/SN314271 2015-06-27 log.csv,a:/SN314271 2015-06-27.zca,2015-06-27,20:59:28,06:44:17,0,NA,0,0,12:00:00,06:41:21,1630.0,1375.0,1669.0
F:/2015 ZCA Files/ALA_2/ALA_2_SE_BAT_026/SN314271 2015-06-28 log.csv,a:/SN314271 2015-06-28.zca,2015-06-28,20:59:27,05:01:21,1,05:01:21,1,0,12:00:00,05:01:21,1626.0,1400.0,1581.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NE_BAT_040/SN314078 2015-06-16 log.csv,a:/SN314078 2015-06-16.zca,2015-06-16,20:56:58,06:42:48,0,NA,0,0,13:43:31,06:38:53,1472.0,1325.0,1462.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NE_BAT_040/SN314078 2015-06-17 log.csv,a:/SN314078 2015-06-17.zca,2015-06-17,20:57:19,06:42:54,0,NA,0,0,12:00:00,06:39:14,1591.0,1025.0,1819.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NE_BAT_040/SN314078 2015-06-18 log.csv,a:/SN314078 2015-06-18.zca,2015-06-18,20:57:38,06:43:02,0,NA,0,0,12:00:00,06:39:33,1511.0,1375.0,1506.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NE_BAT_040/SN314078 2015-06-19 log.csv,a:/SN314078 2015-06-19.zca,2015-06-19,20:57:55,06:43:12,0,NA,0,0,12:00:00,06:39:49,1960.0,1350.0,2300.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NE_BAT_040/SN314078 2015-06-20 log.csv,a:/SN314078 2015-06-20.zca,2015-06-20,20:58:10,06:43:23,0,NA,1,1,12:00:00,06:40:05,1771.0,1250.0,1769.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NE_BAT_040/SN314078 2015-06-21 log.csv,a:/SN314078 2015-06-21.zca,2015-06-21,20:58:24,06:43:37,0,NA,0,0,12:00:00,06:40:19,1991.0,1350.0,2125.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NW_G2/SN314216 2015-06-16 log.csv,a:/SN314216 2015-06-16.zca,2015-06-16,20:57:12,06:43:02,0,NA,0,0,13:18:05,06:39:07,1725.0,1550.0,1725.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NW_G2/SN314216 2015-06-17 log.csv,a:/SN314216 2015-06-17.zca,2015-06-17,20:57:33,06:43:08,0,NA,0,0,12:00:00,06:39:28,1853.0,1300.0,2100.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NW_G2/SN314216 2015-06-18 log.csv,a:/SN314216 2015-06-18.zca,2015-06-18,20:57:52,06:43:16,0,NA,0,0,12:00:00,06:39:47,1755.0,1600.0,1744.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NW_G2/SN314216 2015-06-19 log.csv,a:/SN314216 2015-06-19.zca,2015-06-19,20:58:10,06:43:26,0,NA,0,0,12:00:00,06:40:05,2190.0,1600.0,2488.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NW_G2/SN314216 2015-06-20 log.csv,a:/SN314216 2015-06-20.zca,2015-06-20,20:58:25,06:43:37,0,NA,0,0,12:00:00,06:40:21,2019.0,1500.0,2050.0
F:/2015 ZCA Files/ALA_R3/ALA_R3_NW_G2/SN314216 2015-06-21 log.csv,a:/SN314216 2015-06-21.zca,2015-06-21,20:58:38,06:43:51,0,NA,0,0,12:00:00,06:40:33,2243.0,1600.0,2362.0
