CONUS_10KM,ridge_HA
78910,140.17619193914354
78911,137.22260000000242
78912,137.8045000000024
78913,136.32330000000238
78914,135.05370000000258
78915,135.106600000003
78916,126.53471835568516
78917,104.67392348180285
78918,76.33470000000175
78919,59.738410629915286
78920,45.86430000000064
78921,29.571100000000158
78922,15.129400000000151
78923,7.141500000000001
78924,4.3907
78925,3.4385000000000003
78926,2.0631
78927,1.9044
78928,1.7457
78929,1.7457
78930,1.587
78931,1.3754
78932,1.0051
78933,0.8464
78934,1.1638
78935,0.8464
78936,1.1109
78937,1.4812
78938,1.4812
78939,1.5341
78940,7.723400000000045
78941,16.623695463050744
78942,19.890399999999847
78943,24.585836775510845
78944,25.339099999999846
78945,27.24378331230199
78946,27.56089999999999
78947,27.50799999999999
78948,27.19059999999999
79359,12.69600000000001
79360,15.07649999999991
79361,17.93585156749721
79362,27.120549980718778
79363,50.14920000000112
79364,64.64380000000105
79365,70.03960000000124
79366,76.92919323684032
79367,89.22580163122343
79368,95.16710000000143
79369,103.78980000000169
79370,118.91692288544436
79371,137.06390000000223
79372,140.92560000000225
79373,139.1799000000024
79374,138.8625000000024
79375,137.9632000000025
79376,138.86250000000288
79377,138.43930000000293
79378,137.80450000000286
79379,131.16050182942598
79380,118.07280000000156
79381,88.19392016256857
79382,72.50589189579749
79383,59.300900000001555
79384,35.91911476135987
79385,18.991100000000202
79386,9.94520000000015
79387,4.761
79388,3.9675000000000002
79389,2.1689000000000003
79390,2.0102
79391,1.9044
79392,1.6928
79393,1.6399000000000001
79394,1.587
79395,1.3754
79396,0.9522
79397,1.058
79398,1.3225
79399,1.058
79400,1.3225
79401,1.1638
79402,1.375621191505045
79403,10.063220434128745
79404,17.774399999999847
79405,20.789699999999847
79406,23.752099999999846
79407,25.444899999999848
79408,26.079699999999846
79409,27.296399999999746
79410,28.56599999999999
79411,28.46019999999999
79822,11.59676838099841
79823,13.73489931703141
79824,16.71640000000001
79825,24.17526361220606
79826,54.22250000000113
79827,64.57026313659864
79828,69.72220000000105
79829,75.6166040328918
79830,88.97780000000142
79831,100.0339000000017
79832,112.77513988932887
79833,133.51960000000224
79834,140.67051855562835
79835,139.70890000000242
79836,138.4922000000024
79837,140.7669000000029
79838,140.40337144171602
79839,139.86760000000282
79840,139.65600000000293
79841,138.22770000000287
79842,133.46603148820765
79843,122.09097174672969
79844,97.3889000000016
79845,81.46600000000203
79846,68.4527553894543
79847,44.12011551834667
79848,26.397100000000602
79849,14.124300000000202
79850,6.77339285564895
79851,4.9726
79852,2.2218
79853,2.116
79854,2.116
79855,2.0102
79856,1.6928
79857,1.6399000000000001
79858,1.6399000000000001
79859,1.4812
79860,1.0051
79861,1.4283000000000001
79862,1.6399000000000001
79863,1.2696
79864,1.1638
79865,1.9573000000000451
79866,11.637999999999945
79867,17.139599999999845
79868,20.683899999999845
79869,22.680024028683047
79870,25.762299999999744
79871,27.666699999999746
79872,28.460199999999745
79873,28.777599999999744
79874,29.111618039983046
