DEPLOYMENT,SITE,dep_quad,Dev_SN,St_Date,End_Date,Lat,Long,Elev,Clutter,Dep_Hgt,CL_Front,CL_Back,CL_Left,CL_Right,CL_Up,CL_Down,clutter_index
ALA_2_NE,ALA_2,NE,314240,6/24/2015,6/30/2015,42.32747,-102.15543,1187,High,3.1,10.0,15.0,2.5,2.5,2.5,2.5,625.0
ALA_2_NW,ALA_2,NW,314278,6/24/2015,6/30/2015,42.33897,-102.21946,1194,Low,4.8,15.0,2.5,5.0,5.0,15.0,2.5,3062.5
ALA_2_SE,ALA_2,SE,314271,6/24/2015,6/30/2015,42.31284,-102.15627,1204,High,4.8,15.0,2.5,5.0,2.5,15.0,2.5,2296.875
ALA_R3_NE,ALA_R3,NE,314078,6/16/2015,6/22/2015,42.05994,-102.27814,1189,Low,2.5,15.0,15.0,5.0,2.5,15.0,2.5,3937.5
ALA_R3_NW,ALA_R3,NW,314216,6/16/2015,6/22/2015,42.06099,-102.33688,1189,Low,2.5,15.0,15.0,10.0,5.0,5.0,2.5,3375.0
ALA_R3_SW,ALA_R3,SW,314193,6/16/2015,6/22/2015,42.05461,-102.27324,1184,Low,2.5,10.0,15.0,10.0,15.0,10.0,2.5,7812.5
CNLP_1_NE,CNLP_1,NE,314150,5/28/2015,6/4/2015,41.10756,-98.58362,569,Low,3.5,15.0,2.5,10.0,15.0,10.0,2.5,5468.75
CNLP_1_NW,CNLP_1,NW,314293,5/28/2015,6/4/2015,41.11995,-98.61269,581,Low,3.0,15.0,2.5,10.0,10.0,2.5,2.5,1750.0
CNLP_1_SE,CNLP_1,SE,314251,5/28/2015,6/4/2015,41.08156,-98.56377,563,Low,3.0,15.0,5.0,5.0,10.0,15.0,2.5,5250.0
CNLP_1_SW,CNLP_1,SW,314082,5/28/2015,6/4/2015,41.09007,-98.66739,596,Low,2.5,10.0,5.0,5.0,5.0,10.0,2.5,1875.0
CNLP_2_NE,CNLP_2,NE,314228,7/3/2015,7/9/2015,41.15868,-99.65823,764,Low,2.5,15.0,2.5,2.5,2.5,5.0,2.5,656.25
CNLP_2_NW,CNLP_2,NW,314282,7/3/2015,7/9/2015,41.18061,-99.70112,741,Low,4.8,15.0,15.0,2.5,15.0,15.0,2.5,9187.5
CNLP_2_SE,CNLP_2,SE,314210,7/3/2015,7/9/2015,41.10104,-99.6441,753,Low,4.8,10.0,2.5,2.5,2.5,2.5,2.5,312.5
CNLP_2_SW,CNLP_2,SW,314078,7/3/2015,7/9/2015,41.12209,-99.73023,771,High,2.5,15.0,15.0,15.0,15.0,15.0,2.5,15750.0
CNLP_3_NE,CNLP_3,NE,314271,5/29/2015,6/4/2015,41.27199,-99.18541,676,Low,2.5,10.0,5.0,2.5,5.0,15.0,2.5,1968.75
CNLP_3_NW,CNLP_3,NW,314258,5/29/2015,6/4/2015,41.28507,-99.27322,711,Low,2.5,15.0,15.0,15.0,15.0,15.0,2.5,15750.0
